time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1
23/03/2021 14:00:05,35.2,28.4,25.5,25.6,25,22.3
23/03/2021 14:00:11,37.4,29.2,25.6,27.9,26.8,21.9
23/03/2021 14:00:17,38.5,29.7,25.6,24.7,24.4,22.4
23/03/2021 14:00:23,34.6,30.4,24.6,25.9,25.3,22.3
23/03/2021 14:00:29,34.2,30.2,25.3,25.8,25,23.5
23/03/2021 14:00:35,39.2,30.6,25.4,23.4,23.2,22
23/03/2021 14:00:41,37.8,29,25.3,24.4,23.3,21.4
23/03/2021 14:00:47,33.7,25.3,24.5,22.4,22,20
23/03/2021 14:00:53,37.3,26.9,24.5,23.9,23,20.6
23/03/2021 14:00:59,38.1,25.6,24.1,22.2,22.2,20.6
23/03/2021 14:01:05,35.5,28,24.2,21,21,20.8
23/03/2021 14:01:11,32.4,25.6,24.3,22.6,22.5,20.4
23/03/2021 14:01:17,45.9,28.1,25.1,22.4,21.5,19.9
23/03/2021 14:01:23,37.2,28.8,24.4,23.6,22.9,21.4
23/03/2021 14:01:29,34.8,28.2,24.9,23.6,23.2,20.1
23/03/2021 14:01:35,45.3,28.1,24.3,21.3,21.3,20.3
23/03/2021 14:01:41,28.6,26.1,23.7,22.3,22.1,21.1
23/03/2021 14:01:47,30.5,25,23.5,23.2,22.8,21.3
23/03/2021 14:01:53,34.1,28.1,23.7,23.7,23.3,21.6
23/03/2021 14:01:59,35.3,29.6,24.2,22.9,22.8,21.7
23/03/2021 14:02:05,34.7,28.6,24.1,21.6,21.6,21.1
23/03/2021 14:02:11,37.1,28.3,24.8,24.7,23.7,21.9
23/03/2021 14:02:17,35.5,28.3,24.4,23.6,23,21.7
23/03/2021 14:02:23,41.9,31.7,24.9,26.7,25.6,23.1
23/03/2021 14:02:29,35,27.8,23.4,27.5,25.5,23.4
23/03/2021 14:02:35,34.3,26.3,23.3,27.3,26.2,21.9
23/03/2021 14:02:41,31.6,26.5,23.3,26.9,26.3,24.1
23/03/2021 14:02:47,34.9,24.8,23.5,21.6,21.6,20.8
23/03/2021 14:02:53,34.2,28.6,23.4,21.1,20.7,19.7
23/03/2021 14:02:59,29.3,28,24,20.3,20.2,19.6
23/03/2021 14:03:05,32,29.9,24.9,19.6,19.5,18.9
23/03/2021 14:03:11,29.8,27.6,23.3,19.2,19.2,18.5
23/03/2021 14:03:17,32.1,26.4,22.8,19,19,18.8
23/03/2021 14:03:23,33.7,26.1,23.4,18.5,18.5,18.2
23/03/2021 14:03:29,29.5,25.3,22.6,18.9,18.9,18.7
23/03/2021 14:03:35,34.4,30.8,23.7,19.2,19.2,19.1
23/03/2021 14:03:41,31.2,29.6,25,18.6,18.6,18.5
23/03/2021 14:03:47,36.2,29.4,24,20.3,19.9,18.8
23/03/2021 14:03:53,29.4,24.9,22.8,20.6,20.3,19.1
23/03/2021 14:03:59,31.3,25.9,23.4,19.6,19.4,18.8
23/03/2021 14:04:05,31.8,27,23.3,19.6,19.6,19.5
23/03/2021 14:04:11,29.5,26.4,24,19.7,19.7,19.4
23/03/2021 14:04:17,30.4,27.7,23.2,19.3,19.1,18.6
23/03/2021 14:04:23,31.4,27.4,24.1,19.4,19.4,19.1
23/03/2021 14:04:29,31.5,28.8,23.2,18.7,18.7,18.7
23/03/2021 14:04:35,27.7,24.1,21.9,19.3,19,18.2
23/03/2021 14:04:41,34.2,24.7,22.7,20.2,20,19.1
23/03/2021 14:04:47,37.1,30.6,22.2,18.2,18.2,18.2
23/03/2021 14:04:53,30.7,25.3,22.7,19.3,19.3,19
23/03/2021 14:04:59,38.5,29.3,23.5,18,18,18
23/03/2021 14:05:05,34.6,28.1,22.9,18.7,18.6,18.1
23/03/2021 14:05:11,48.9,27.2,22.4,18.6,18.6,18.4
23/03/2021 14:05:17,32,25.9,21.7,17.6,17.6,17.5
23/03/2021 14:05:23,31.6,24.3,21.8,18,18,17.9
23/03/2021 14:05:29,40.4,25.2,22,17.9,17.9,17.7
23/03/2021 14:05:35,29.6,23.1,22.2,17.7,17.7,17.7
23/03/2021 14:05:41,40.7,27.2,23.5,19,19,18.8
23/03/2021 14:05:47,28.6,25.3,22.1,18.8,18.6,17.7
23/03/2021 14:05:53,31.8,25.8,22.4,17.9,17.9,17.9
23/03/2021 14:05:59,27.2,24.9,22.1,17.8,17.8,17.7
23/03/2021 14:06:05,32.4,27.2,21.7,17.8,17.8,17.5
23/03/2021 14:06:11,29.1,21.7,20.8,17.4,17.4,16.8
23/03/2021 14:06:17,27.7,24,21.1,17.6,17.6,17.5
23/03/2021 14:06:23,27.4,23,21,18.6,18.5,17.7
23/03/2021 14:06:29,27.3,23.1,20.7,18.2,18,17.2
23/03/2021 14:06:35,21,21,20.3,17.7,17.7,17.4
23/03/2021 14:06:41,52.1,24.5,20.8,17.2,17.2,17.1
23/03/2021 14:06:47,42.5,28.4,21.5,16.8,16.8,16.3
23/03/2021 14:06:53,31.8,24.1,21,17.8,17.8,17.3
23/03/2021 14:06:59,38.7,24.2,21.1,16.9,16.9,16.8
23/03/2021 14:07:05,26.5,24,20.4,16.8,16.8,16.1
23/03/2021 14:07:11,29.1,24.2,21.2,16.7,16.7,16.7
23/03/2021 14:07:17,38.8,22.5,20.2,16.8,16.8,16.7
