time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1,SAPM10,SAPM2.5,SAPM1
17/03/2021 09:17:16,26.8,15.6,10.2,20.8,16.6,10.9,,,
17/03/2021 09:17:22,39.3,23.2,11.2,21.6,16.7,11,,,
17/03/2021 09:17:28,34.1,21.9,11.2,19.2,16.9,10.7,,,
17/03/2021 09:17:34,38.7,15.8,10.6,24.4,19.1,11.1,,,
17/03/2021 09:17:40,30.9,23,11.3,24.1,18.9,10.3,,,
17/03/2021 09:17:46,40,18,11.3,25.2,21.3,11.1,,,
17/03/2021 09:17:52,31.8,20.6,11.1,16.5,13.8,10.9,,,
17/03/2021 09:17:58,35,23.3,10.7,19.7,17.1,10.8,,,
17/03/2021 09:18:04,37.4,20.2,11.3,23.1,17.8,10.9,,,
17/03/2021 09:18:10,31.6,23.5,11.4,19.6,16.5,11.3,,,
17/03/2021 09:18:16,26.5,18.3,11.6,20.7,17.5,11.3,,,
17/03/2021 09:18:22,30.5,19.8,10.9,24.2,20.5,10.1,,,
17/03/2021 09:18:28,34.6,21.6,11.5,20.1,16.9,10.6,,,
17/03/2021 09:18:34,33.1,21.9,11.5,21.7,17.1,11.3,,,
17/03/2021 09:18:40,40.7,28.1,13,21.1,17,11,,,
17/03/2021 09:18:46,32,19.9,11.4,20.5,13.9,10.6,,,
17/03/2021 09:18:52,28.8,20.6,11.6,24.7,17.5,10.7,,,
17/03/2021 09:18:58,31.3,18.5,11.1,16.7,14.8,10.4,,,
17/03/2021 09:19:04,33.6,21.3,11.2,22.3,16.4,10.9,,,
17/03/2021 09:19:10,31.9,22.4,10.8,22,15,10.5,,,
17/03/2021 09:19:16,29.8,20.8,12,21.6,17.7,11,,,
17/03/2021 09:19:22,30.5,20.8,10.8,26.2,20.3,11.3,,,
17/03/2021 09:19:28,29.9,23.2,11.5,23.3,18.3,10.7,,,
17/03/2021 09:19:34,35.6,19.8,11.2,21.1,17.7,11,,,
17/03/2021 09:19:40,35.8,23.5,11.7,20.8,16.3,10.8,,,
17/03/2021 09:19:46,34.4,21.2,11.5,24.6,20.4,11.6,,,
17/03/2021 09:19:52,35.1,20.3,11.8,22.3,20.4,11.3,,,
17/03/2021 09:19:58,24.4,18.6,11.3,16.9,13.5,10.9,,,
17/03/2021 09:20:04,28.2,17.1,11.3,20.8,17.5,10.7,,,
17/03/2021 09:20:10,30.9,18.6,11.3,16.8,15.5,11.2,,,
17/03/2021 09:20:16,31.6,17.8,10.9,21.7,16.9,10.6,,,
17/03/2021 09:20:22,38.9,18.6,11.2,16.3,13.1,10.2,,,
17/03/2021 09:20:28,29.8,22,11,18.4,15,10.5,,,
17/03/2021 09:20:34,39.8,23.1,11.5,18.1,15.9,11.7,,,
17/03/2021 09:20:40,29.7,20.3,11.6,20.5,14.8,10.8,,,
17/03/2021 09:20:46,30.9,21.2,11.1,18.6,15.9,11.1,,,
17/03/2021 09:20:52,25.4,17,11.2,17.9,14.5,10.8,,,
17/03/2021 09:20:58,26.6,18.2,11.5,17.5,13.9,10.7,,,
17/03/2021 09:21:04,34.3,22.3,11.5,21.2,17.5,11.4,,,
17/03/2021 09:21:10,40.3,20.4,11.5,20.3,16.8,10.8,,,
17/03/2021 09:21:16,38.4,21.4,11.2,19.3,14.6,10.6,,,
17/03/2021 09:21:22,22,16.4,11.7,31.3,16.2,10.5,,,
17/03/2021 09:21:28,33.1,20.3,10.8,25,17.7,10.9,,,
17/03/2021 09:21:34,35,21.4,10.8,20.1,16.3,10.6,,,
17/03/2021 09:21:40,33.5,20.1,11.7,20.9,17.8,10.7,,,
17/03/2021 09:21:46,33.2,21.5,11,21.4,17.6,10,,,
17/03/2021 09:21:52,37.6,21.5,11.4,18.1,14.6,10.8,,,
17/03/2021 09:21:58,24.7,17.9,10.9,21.2,16.9,11.1,,,
17/03/2021 09:22:04,32,18.9,10.7,17,14.1,10.7,,,
