time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1,SAPM10,SAPM2.5,SAPM1
18/03/2021 08:44:33,42.4,26.8,18.5,27.6,24.3,18.9,,,
18/03/2021 08:44:39,62.2,34.7,18.4,27.2,23.6,18.3,,,
18/03/2021 08:44:45,46,28.3,18.5,29.7,26.5,18.8,,,
18/03/2021 08:44:51,60.2,28.3,18.4,30.1,25.8,19.3,,,
18/03/2021 08:44:57,52.7,23.6,18.1,29.3,25.4,19.1,,,
18/03/2021 08:45:03,38.2,26,18.4,26.8,22.9,18,,,
18/03/2021 08:45:09,42.6,31.3,19.2,31.3,24.5,18.5,,,
18/03/2021 08:45:15,55.2,26.1,19.5,29.9,26,18.5,,,
18/03/2021 08:45:21,52.6,26.8,18.7,31.6,26.8,19.7,,,
18/03/2021 08:45:27,48.7,31.5,19.1,26.6,24.4,18.8,,,
18/03/2021 08:45:33,41.9,28.1,19,30.8,26.3,19.5,,,
18/03/2021 08:45:39,60.8,32.7,19.4,32.4,26.6,18.9,,,
18/03/2021 08:45:45,47.2,30.3,19.1,29,24.3,18.6,,,
18/03/2021 08:45:51,55.7,33.8,18.9,32.9,25.5,19.5,,,
18/03/2021 08:45:57,41,27.4,18,27.9,25.2,19.2,,,
18/03/2021 08:46:03,55,27.2,18.1,33.5,28.9,20,,,
18/03/2021 08:46:09,63.1,29,19.5,31.1,26.6,19.7,,,
18/03/2021 08:46:15,46.8,30.9,18.6,28.1,25,19.5,,,
18/03/2021 08:46:21,50.2,36.6,21.5,30.9,24.1,19,,,
18/03/2021 08:46:27,51.3,34.7,19.3,29.4,24.1,19.1,,,
18/03/2021 08:46:33,60.2,30.4,19.2,37.3,26.3,19.3,,,
18/03/2021 08:46:39,62.9,28.2,20.2,30.6,24.3,18.8,,,
18/03/2021 08:46:45,53.5,34.9,20.1,29.1,25.6,19.8,,,
18/03/2021 08:46:51,67.2,29.4,19.7,36.9,28.1,20.5,,,
18/03/2021 08:46:57,45.3,31.8,18.9,36.6,28.5,20.3,,,
18/03/2021 08:47:03,55.4,28.7,19.5,31.3,25.9,19.4,,,
18/03/2021 08:47:09,76.2,36.5,20,34.6,28.6,20.1,,,
18/03/2021 08:47:15,63.3,31.6,19.9,34.7,26.1,19.6,,,
18/03/2021 08:47:21,62.2,33.8,18.8,34.3,28,19.4,,,
18/03/2021 08:47:27,67.4,31.9,19.5,33.5,27.4,20,,,
18/03/2021 08:47:33,51.3,31,18.7,29.6,24,19.1,,,
18/03/2021 08:47:39,48,32.3,20.3,28.5,24.4,19.2,,,
18/03/2021 08:47:45,68.3,37.3,19.5,27,24.3,19.6,,,
18/03/2021 08:47:51,51.1,28.2,17.4,32.5,25.6,19.2,,,
18/03/2021 08:47:57,50.1,29.2,18.8,33.7,28.8,20,,,
18/03/2021 08:48:03,55.1,33.6,19.6,33.8,28.3,20.6,,,
18/03/2021 08:48:09,47.9,34.4,20.5,39.4,30.9,19.8,,,
18/03/2021 08:48:15,49.8,33.6,20.2,34.5,27.9,19.1,,,
18/03/2021 08:48:21,67.2,28.8,20.4,34,27.5,19.5,,,
18/03/2021 08:48:27,67.1,32.5,20.9,34.6,27.3,19.5,,,
18/03/2021 08:48:33,51.3,32.5,18.4,28.2,24.8,20.3,,,
18/03/2021 08:48:39,54,38,19.4,37.5,31.7,20.1,,,
18/03/2021 08:48:45,72.3,30.3,19.5,29.3,25.7,19.5,,,
18/03/2021 08:48:51,54.2,35.3,19.4,33.4,26.5,19.7,,,
18/03/2021 08:48:57,49.3,31.8,19.9,35.7,32.1,19.4,,,
18/03/2021 08:49:03,54.8,29.3,19.3,32.6,27.2,20.2,,,
18/03/2021 08:49:09,55.9,27.2,19.4,31.2,27.2,19.5,,,
18/03/2021 08:49:15,55.5,29.5,18.9,43.9,28.7,19.4,,,
18/03/2021 08:49:21,46.4,29.7,18.9,29.5,26.2,19.8,,,
18/03/2021 08:49:27,47.5,32.3,19.8,30.5,28.3,20.2,,,
18/03/2021 08:49:33,54.4,29.4,18.7,32.9,28.3,19.8,,,
18/03/2021 08:49:39,51.2,32.4,19.5,31.5,26.8,19.8,,,
18/03/2021 08:49:45,36.6,25.3,18.7,29.2,26.9,19.5,,,
18/03/2021 08:49:51,43.4,26.7,17.9,33.5,29.1,19.8,,,
18/03/2021 08:49:57,45.1,26.8,18.5,30.4,26.8,19.6,,,
18/03/2021 08:50:03,46,27.6,18.6,30.2,26,19.5,,,
18/03/2021 08:50:09,46,33.7,19,34.2,30.2,19.6,,,
18/03/2021 08:50:15,40.8,29.8,18.2,27.3,25.5,19.6,,,
18/03/2021 08:50:21,43.2,30.6,18.8,38.7,30.4,19.8,,,
18/03/2021 08:50:27,43,31,19.7,29.4,24.1,19,,,
18/03/2021 08:50:33,43.3,29.6,19.3,29.2,25.7,19.8,,,
18/03/2021 08:50:39,51.3,30.7,20,32.7,26.6,19.6,,,
18/03/2021 08:50:45,54.5,32.8,20.4,31.2,25.8,18.8,,,
18/03/2021 08:50:51,49.7,27.4,19.4,25.8,23.5,20.1,,,
18/03/2021 08:50:57,61.7,33.5,20.7,29.4,26,19.5,,,
18/03/2021 08:51:03,48.5,29.7,19.7,29.4,26.2,19.6,,,
18/03/2021 08:51:09,56,38.3,20.4,28.5,26.7,19.7,,,
18/03/2021 08:51:15,58.6,33.8,19.7,25.6,24,18.8,,,
18/03/2021 08:51:21,44.9,28.1,19.2,27.2,24.1,19.7,,,
18/03/2021 08:51:27,53.9,26.6,19.4,27.8,24.3,19.3,,,
18/03/2021 08:51:33,42.2,27.6,19,30.9,26.3,18.4,,,
18/03/2021 08:51:39,42.8,29.8,18.7,32.3,26.5,19.2,,,
18/03/2021 08:51:45,45.2,28.9,19.4,27.8,24.9,18.7,,,
18/03/2021 08:51:51,44.3,27.7,18.8,28,25.4,19.4,,,
18/03/2021 08:51:57,47.4,30.7,19.2,30.1,26,19.4,,,
18/03/2021 08:52:03,56.9,36.2,19,27.9,24.2,19.4,,,
18/03/2021 08:52:09,53.7,29.8,19.7,29.9,27.1,19,,,
18/03/2021 08:52:15,64,36.8,19.7,29.2,26.1,19.8,,,
18/03/2021 08:52:21,59.1,31.4,19.5,29.2,25.4,19.2,,,
18/03/2021 08:52:27,59.2,29.5,19.5,26.4,24.4,19,,,
18/03/2021 08:52:33,52.1,31.6,18.8,32.1,27.9,19.8,,,
18/03/2021 08:52:39,66.8,30.7,19.4,29.3,25.2,18.6,,,
18/03/2021 08:52:45,38.8,27.6,18.2,27.2,24.2,18.5,,,
18/03/2021 08:52:51,54,28.2,17.9,28.8,25.9,20.1,,,
18/03/2021 08:52:57,46.8,35.2,19.3,30.7,26,18.5,,,
18/03/2021 08:53:03,49.5,32.3,19.4,30.5,25.4,19.1,,,
18/03/2021 08:53:09,45.1,30.6,18.8,28.1,23.4,18.8,,,
18/03/2021 08:53:15,51.9,30.5,19.6,26.7,23,18.9,,,
18/03/2021 08:53:21,58.2,29.4,20.4,27.9,25,19.9,,,
18/03/2021 08:53:27,57.7,36.3,20.2,29.4,25,19.3,,,
18/03/2021 08:53:33,51.6,31.5,18.8,25.2,21.4,18.4,,,
18/03/2021 08:53:39,54.4,28.3,18.7,27.8,24.7,18.4,,,
18/03/2021 08:53:45,50.6,33.8,19.5,32.1,27.3,18.8,,,
18/03/2021 08:53:51,47.7,27.1,18.4,30,26.1,18.9,,,
18/03/2021 08:53:57,43.6,28.3,19.1,31.7,25.2,18.3,,,
18/03/2021 08:54:03,59.6,32.6,19.5,28.2,23,18.8,,,
18/03/2021 08:54:09,53.6,29.4,18.7,30.2,25.7,19.2,,,
18/03/2021 08:54:15,28.5,22.1,19,26.4,24.7,19.4,,,
18/03/2021 08:54:21,43.7,28,19.4,25.2,22.3,18.6,,,
18/03/2021 08:54:27,57.7,31,18.5,26.9,22.8,18.3,,,
18/03/2021 08:54:33,211,55.5,21.4,29.1,23.4,18.9,,,
18/03/2021 08:54:39,146.1,42.1,20.8,27.4,23.7,18.5,,,
