time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1,SAPM10,SAPM2.5,SAPM1,Filter,circulation,Flow rate,Purifier
2021-03-16 9:02,26.7,17.4,10,9.9,8.8,7.5,1,1,0.7,0,0,1,0
2021-03-16 9:02,32.1,17.4,10.2,10.2,8.3,7.5,1.6,1.5,0.9,0,0,1,0
2021-03-16 9:03,34.7,19.5,10.2,8.6,8.6,7.9,1.2,1.2,1.2,0,0,1,0
2021-03-16 9:03,46.7,19.2,10.7,9.4,8.5,7.4,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:03,128.6,25.2,11,8.9,8.5,7.7,1,1,1,0,0,1,0
2021-03-16 9:03,199,27,10.8,11.8,10.4,7.8,0.9,0.9,0.8,0,0,1,0
2021-03-16 9:03,121.5,17.7,10.3,8.1,8.1,7.4,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:03,73.2,26.1,10.9,12,11.2,7.6,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:03,83.5,25,10.3,9.2,9.2,7.4,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:03,80.1,29,10.9,10.8,9.9,7.5,1.3,1.3,1.1,0,0,1,0
2021-03-16 9:03,71.4,15.4,10.4,7.7,7.7,7.7,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:03,63.2,19.6,10.9,9.8,9.4,7.6,1.3,1.2,0.8,0,0,1,0
2021-03-16 9:04,59.8,21.2,10.4,9.8,9.2,7,1.5,1.5,1,0,0,1,0
2021-03-16 9:04,32.9,19.8,10.2,10.3,9,7.5,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:04,40.3,18.4,10.4,9.4,8.9,7.5,1,1,1,0,0,1,0
2021-03-16 9:04,34.5,18.9,10.2,9.7,8.4,7.6,0.7,0.7,0.7,0,0,1,0
2021-03-16 9:04,33.4,15.5,10.6,12.7,10.1,7.9,1,1,0.9,0,0,1,0
2021-03-16 9:04,41.9,28,11.1,11.2,10.4,7.7,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:04,37.7,15.8,10.1,13,11.1,7.4,1.3,1.2,0.7,0,0,1,0
2021-03-16 9:04,39.5,18.4,10.6,9.3,8.6,7.5,0.9,0.9,0.8,0,0,1,0
2021-03-16 9:04,39.9,17.8,10.1,12.6,11.7,8.1,1.4,1.4,0.9,0,0,1,0
2021-03-16 9:04,42,17.5,10.2,8.5,8.2,7.5,1.8,1.7,1.1,0,0,1,0
2021-03-16 9:05,32.6,17.2,10.2,9.4,9,7.6,0.9,0.9,0.9,0,0,1,0
2021-03-16 9:05,32.5,16,10.8,9.9,8.5,7.3,1.2,1.2,1,0,0,1,0
2021-03-16 9:05,37.7,20.7,10.4,10.8,9.4,7.3,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:05,38.1,19,10.6,9.6,8.8,7.1,0.8,0.8,0.8,0,0,1,0
2021-03-16 9:05,34.8,20.7,10.5,12.3,10.6,7.9,0.9,0.9,0.9,0,0,1,0
2021-03-16 9:05,42.1,19.4,10.5,7.9,7.9,7.7,0.9,0.9,0.9,0,0,1,0
2021-03-16 9:05,41.7,20.4,10,9.6,7.7,6.8,0.9,0.9,0.9,0,0,1,0
2021-03-16 9:05,29.9,17.3,10.4,9.1,8.4,7.3,1.6,1.6,1.1,0,0,1,0
2021-03-16 9:05,33.8,16.2,10.4,10,9,7.6,0.7,0.7,0.7,0,0,1,0
2021-03-16 9:05,53.3,24.1,10.4,12.5,10.5,7.4,0.7,0.7,0.7,0,0,1,0
