time2,OAPM10,OAPM2.5,OAPM1
3/16/2021 10:41:43 AM,110.2,30.8,10.5
3/16/2021 10:42:43 AM,113.7,28.7,10.1
3/16/2021 10:43:43 AM,140.1,32.3,11.6
3/16/2021 10:44:43 AM,122.5,30.2,10.2
3/16/2021 10:45:43 AM,106.2,27.8,10.4
3/16/2021 10:46:43 AM,76,26.6,10.3
3/16/2021 10:47:43 AM,78.9,27.1,9.9
3/16/2021 10:48:43 AM,123.6,30.2,10.5
3/16/2021 10:49:43 AM,116.6,32.3,10.9
3/16/2021 10:50:43 AM,116.7,28.8,10.9
3/16/2021 10:51:43 AM,118.4,31.2,11
3/16/2021 10:52:43 AM,125.8,31.3,10.7
3/16/2021 10:53:43 AM,124,30.1,11
3/16/2021 10:54:43 AM,126.9,32,11.4
3/16/2021 10:55:43 AM,97.6,30.4,10.9
3/16/2021 10:56:43 AM,127.2,31.5,10.5
3/16/2021 10:57:43 AM,140.6,34.9,11.7
3/16/2021 10:58:43 AM,123.9,33,10.7
3/16/2021 10:59:43 AM,133.9,32.4,11.2
3/16/2021 11:00:43 AM,131.9,31.8,10.5
3/16/2021 11:01:43 AM,132.7,33.3,10.5
3/16/2021 11:02:43 AM,155,33.7,11.6
3/16/2021 11:03:43 AM,129.4,32.3,11.5
3/16/2021 11:04:43 AM,134,30.1,10.4
3/16/2021 11:05:43 AM,122.1,28.2,10.1
3/16/2021 11:06:43 AM,135.7,30,10.2
3/16/2021 11:07:43 AM,124.2,30.6,10.2
3/16/2021 11:08:43 AM,136.3,31.5,11.2
3/16/2021 11:09:43 AM,129.3,33.1,10.8
3/16/2021 11:10:43 AM,123.6,31.3,10.9
3/16/2021 11:11:43 AM,119.3,33.4,11.3
3/16/2021 11:12:43 AM,135.6,33.6,10.9
3/16/2021 11:13:43 AM,126.2,32.5,10.2
3/16/2021 11:14:43 AM,122.3,29.8,9.8
3/16/2021 11:15:43 AM,113.9,30.2,10.3
3/16/2021 11:16:43 AM,124.3,30.9,9.7
3/16/2021 11:17:43 AM,121,31.3,10.9
3/16/2021 11:18:43 AM,118.6,30,11.2
3/16/2021 11:19:43 AM,109.5,27.8,10.3
3/16/2021 11:20:43 AM,122,33.4,10.7
3/16/2021 11:21:43 AM,126.9,31.4,10.8
3/16/2021 11:22:43 AM,133.4,31.2,10.6
3/16/2021 11:23:43 AM,126.4,33.2,11.8
3/16/2021 11:24:43 AM,135.1,34.2,12.2
3/16/2021 11:25:43 AM,125.8,29.7,10.6
3/16/2021 11:26:43 AM,125.1,32.8,10.6
3/16/2021 11:27:43 AM,102.3,30.7,10.4
3/16/2021 11:28:43 AM,115.6,30.8,10.7
3/16/2021 11:29:43 AM,121,29.6,10.5
3/16/2021 11:30:43 AM,130,31.2,10.5
3/16/2021 11:31:43 AM,134.5,32.5,11.5
3/16/2021 11:32:43 AM,117.5,31.5,10.8
3/16/2021 11:33:43 AM,133.1,31.6,11.1
3/16/2021 11:34:43 AM,136.7,33.7,12.2
3/16/2021 11:35:43 AM,132.9,33,14.4
3/16/2021 11:36:43 AM,125.4,33.4,13.4
3/16/2021 11:37:43 AM,123.6,36.6,16.3
3/16/2021 11:38:43 AM,126.7,35.3,13.9
3/16/2021 11:39:43 AM,107.3,30.6,12.9
3/16/2021 11:40:43 AM,134.6,38.8,13.4
3/16/2021 11:41:43 AM,140.7,34.3,14.2
3/16/2021 11:42:43 AM,147.7,39.6,14.8
3/16/2021 11:43:43 AM,121.1,34.5,12.9
3/16/2021 11:44:43 AM,146.8,36.9,13.6
3/16/2021 11:45:43 AM,131.6,33.5,13.4
3/16/2021 11:46:43 AM,118.6,35.7,13.8
3/16/2021 11:47:43 AM,124.2,39.6,16
3/16/2021 11:48:43 AM,140.6,38.2,15.2
3/16/2021 11:49:43 AM,139,37.4,14.4
3/16/2021 11:50:43 AM,154,37.9,14.1
3/16/2021 11:51:43 AM,141,37.7,13.7
3/16/2021 11:52:43 AM,142.3,35.1,13.7
3/16/2021 11:53:43 AM,145.3,37,14.7
3/16/2021 11:54:43 AM,154.7,37.7,14.1
3/16/2021 11:55:43 AM,145,38,14.2
3/16/2021 11:56:43 AM,146.3,36.3,13.2
3/16/2021 11:57:43 AM,152.9,35.2,13.3
3/16/2021 11:58:43 AM,141.1,37.2,13.1
