time2	OAPM10	OAPM2.5	OAPM1
2021-01-14 오전 10:32:13	91.3	54.2	38
2021-01-14 오전 10:33:13	84.9	53.2	37.4
2021-01-14 오전 10:34:13	91.7	55	38.1
2021-01-14 오전 10:35:13	98	53.6	38.8
2021-01-14 오전 10:36:13	98.7	60.4	42.8
2021-01-14 오전 10:37:13	87.1	55	39.6
2021-01-14 오전 10:38:13	82.5	51.5	36.8
2021-01-14 오전 10:39:13	89	53.6	36.9
2021-01-14 오전 10:40:13	88.4	53.8	36.9
2021-01-14 오전 10:41:13	85.3	52.5	36.8
2021-01-14 오전 10:42:13	86.2	53.5	37.1
2021-01-14 오전 10:43:13	79	51.5	36.3
2021-01-14 오전 10:44:13	82.6	51.1	36.9
2021-01-14 오전 10:45:13	86.3	54.5	36.9
2021-01-14 오전 10:46:13	75.7	49.1	34.9
2021-01-14 오전 10:47:13	78.5	49	34.6
2021-01-14 오전 10:48:13	81.4	49.2	34.7
2021-01-14 오전 10:49:13	83.7	48.8	33.5
2021-01-14 오전 10:50:13	80.7	47.4	33.5
2021-01-14 오전 10:51:13	76.7	48	34.4
2021-01-14 오전 10:52:13	80.7	48.4	34.6
2021-01-14 오전 10:53:13	73.6	48	34.1
2021-01-14 오전 10:54:13	76.7	49.9	34.9
2021-01-14 오전 10:55:13	83	51.2	35.2
2021-01-14 오전 10:56:13	84.5	50.8	36.1
2021-01-14 오전 10:57:13	83.4	50.6	35.7
2021-01-14 오전 10:58:13	83	51.1	35.4
2021-01-14 오전 10:59:13	72.2	46.9	33.8
2021-01-14 오전 11:00:13	78.5	47.4	33.5
2021-01-14 오전 11:01:13	74.2	47.5	33.4
2021-01-14 오전 11:02:13	75.6	45.7	33.4
2021-01-14 오전 11:03:13	86.4	50	35
2021-01-14 오전 11:04:13	76.9	46.8	34.3
2021-01-14 오전 11:05:13	75.8	48.9	34
2021-01-14 오전 11:06:13	78.9	48.8	33.8
2021-01-14 오전 11:07:13	79.6	46.1	33
2021-01-14 오전 11:08:13	73.1	45.6	32.9
2021-01-14 오전 11:09:13	74.2	47	33.2
2021-01-14 오전 11:10:13	74.4	44.5	32.1
2021-01-14 오전 11:11:13	75.4	45.9	32.6
2021-01-14 오전 11:12:13	75.3	42.9	32
2021-01-14 오전 11:13:13	72	45	32.4
2021-01-14 오전 11:14:13	77	47.5	33.1
2021-01-14 오전 11:15:13	76	46.4	32.9
2021-01-14 오전 11:16:13	72.2	44.5	32.7
2021-01-14 오전 11:17:13	73.4	45.6	33
2021-01-14 오전 11:18:13	71.6	46.6	33.5
2021-01-14 오전 11:19:13	79.2	48.4	33.7
2021-01-14 오전 11:20:13	76.1	47.7	34
2021-01-14 오전 11:21:13	75.7	46.1	33.8
2021-01-14 오전 11:22:13	72.8	46.9	33.8
2021-01-14 오전 11:23:13	77.2	48.4	33.9
2021-01-14 오전 11:24:13	75.2	48	34.7
2021-01-14 오전 11:25:13	77.5	48.7	35
2021-01-14 오전 11:26:13	74.1	48.5	34.8
2021-01-14 오전 11:27:13	83.6	49.4	35.4
2021-01-14 오전 11:28:13	74.1	47.4	34.6
2021-01-14 오전 11:29:13	79.1	48.6	35.1
2021-01-14 오전 11:30:13	72.4	47.4	35.3
2021-01-14 오전 11:31:13	71.6	46.7	34.9
2021-01-14 오전 11:32:13	78.8	48.4	34.4
2021-01-14 오전 11:33:13	73.3	47.5	35.1
2021-01-14 오전 11:34:13	75.6	49	35.9
2021-01-14 오전 11:35:13	77.5	49.1	36
2021-01-14 오전 11:36:13	82.5	48.6	35.4
2021-01-14 오전 11:37:13	73.8	48.9	35.8
2021-01-14 오전 11:38:13	75.4	49.3	36.6
2021-01-14 오전 11:39:13	83.4	51.9	38.1
2021-01-14 오전 11:40:13	79.3	48.7	37
2021-01-14 오전 11:41:13	80.7	50.7	37.5
2021-01-14 오전 11:42:13	81.6	52.3	37.3
2021-01-14 오전 11:43:13	84.2	52.8	38
2021-01-14 오전 11:44:13	79.8	51.2	38.5
2021-01-14 오전 11:45:13	79.2	52.1	37.8
2021-01-14 오전 11:46:13	73.1	50.5	36.6
2021-01-14 오전 11:47:13	79.7	55.3	42.5
2021-01-14 오전 11:48:13	86.2	56.8	43.3
2021-01-14 오전 11:49:13	78.6	52.3	38.1
2021-01-14 오전 11:50:13	83.1	52.4	38.4
2021-01-14 오전 11:51:13	86.5	55.3	39.3
2021-01-14 오전 11:52:13	88.3	54.6	38.8
2021-01-14 오전 11:53:13	83.3	53.4	39.6
2021-01-14 오전 11:54:13	78.1	49.9	37.8
2021-01-14 오전 11:55:13	84.2	51.6	38
2021-01-14 오전 11:56:13	81.7	51.2	39.1
2021-01-14 오전 11:57:13	82.8	51.1	38.8
2021-01-14 오전 11:58:13	78.2	50.6	38.8
2021-01-14 오전 11:59:13	78.3	50.8	38.4
2021-01-14 오후 12:00:13	85.2	54.1	39.2
2021-01-14 오후 12:01:13	82.1	50.3	38.4
