time2,OAPM10,OAPM2.5,OAPM1
3/16/2021 2:00:43 PM,143.5,41,15.8
3/16/2021 2:01:43 PM,162,43.7,18.1
3/16/2021 2:02:43 PM,147.8,40.6,16.4
3/16/2021 2:03:43 PM,163.3,41,14.9
3/16/2021 2:04:43 PM,157.6,47.1,19.3
3/16/2021 2:05:43 PM,156.5,41.8,16.4
3/16/2021 2:06:43 PM,138.2,42.8,15.7
3/16/2021 2:07:43 PM,146.7,43,16.9
3/16/2021 2:08:43 PM,124.8,40,15.5
3/16/2021 2:09:43 PM,134.2,40.5,13.8
3/16/2021 2:10:43 PM,144.2,39.2,14.1
3/16/2021 2:11:43 PM,155.3,39,13.4
3/16/2021 2:12:43 PM,165.5,44.5,15.2
3/16/2021 2:13:43 PM,168.9,46,17.7
3/16/2021 2:14:43 PM,161.2,42.3,15.6
3/16/2021 2:15:43 PM,168.8,44.7,18.2
3/16/2021 2:16:43 PM,150.6,41.3,15.9
3/16/2021 2:17:43 PM,162.2,44,15.7
3/16/2021 2:18:43 PM,174.1,46.3,15.8
3/16/2021 2:19:44 PM,175.2,44.8,16.1
3/16/2021 2:20:43 PM,147.7,41.8,14.7
3/16/2021 2:21:43 PM,157.9,42.2,14.3
3/16/2021 2:22:43 PM,154.6,41.8,14.9
3/16/2021 2:23:43 PM,149.8,39.4,14.3
3/16/2021 2:24:43 PM,152.8,40.1,15.5
3/16/2021 2:25:43 PM,128.5,40.9,13.8
3/16/2021 2:26:43 PM,121.1,39,13.2
3/16/2021 2:27:43 PM,130.6,39.8,13.9
3/16/2021 2:28:43 PM,136.2,41,13.8
3/16/2021 2:29:44 PM,147.9,38,14.3
3/16/2021 2:30:43 PM,146,40.1,14
3/16/2021 2:31:43 PM,149.7,40.8,14.4
3/16/2021 2:32:43 PM,149.6,40.8,14.9
3/16/2021 2:33:43 PM,161.1,43,17.3
3/16/2021 2:34:43 PM,156.1,39,14.2
3/16/2021 2:35:43 PM,135.8,43.3,17.1
3/16/2021 2:36:43 PM,146.2,40.4,14.3
3/16/2021 2:37:43 PM,133.6,40.5,14.6
3/16/2021 2:38:43 PM,140.6,40.3,15.7
3/16/2021 2:39:43 PM,153.3,38.8,14.2
3/16/2021 2:40:43 PM,154.8,41.6,17.4
3/16/2021 2:41:43 PM,152.5,41.4,14.8
3/16/2021 2:42:43 PM,139.5,41.5,16.3
3/16/2021 2:43:43 PM,139.2,40.9,15.5
3/16/2021 2:44:43 PM,138.8,38.2,15
3/16/2021 2:45:43 PM,131.4,36.8,13.4
3/16/2021 2:46:43 PM,135,39.6,15.4
3/16/2021 2:47:43 PM,147.1,39.4,13.2
3/16/2021 2:48:44 PM,149.1,35.7,12.3
3/16/2021 2:49:43 PM,134,36.9,12.3
3/16/2021 2:50:43 PM,117.1,35.6,13.6
3/16/2021 2:51:43 PM,141.2,39.6,16.3
3/16/2021 2:52:43 PM,134.7,37.2,15
3/16/2021 2:53:44 PM,123.2,38.4,14.9
3/16/2021 2:54:43 PM,126.3,36.9,14.4
3/16/2021 2:55:43 PM,153.8,39.2,14.8
3/16/2021 2:56:43 PM,126.6,38.3,14
3/16/2021 2:57:43 PM,133.7,41.9,14.4
3/16/2021 2:58:43 PM,145.4,38.2,13.8
3/16/2021 2:59:43 PM,128.2,37.9,13.7
3/16/2021 3:00:43 PM,134.5,37.2,14.1
3/16/2021 3:01:44 PM,138.5,41.9,18.5
3/16/2021 3:02:43 PM,132.1,36.3,13.3
3/16/2021 3:03:43 PM,126.3,33.2,11.7
3/16/2021 3:04:43 PM,108.7,34.3,12.3
3/16/2021 3:05:43 PM,123.8,37.3,13.9
3/16/2021 3:06:44 PM,120.1,40,15.8
3/16/2021 3:07:43 PM,127.5,34.1,11.9
3/16/2021 3:08:44 PM,118.1,36.4,14.1
3/16/2021 3:09:43 PM,120.8,40,16.9
3/16/2021 3:10:43 PM,119.9,34.4,11.9
3/16/2021 3:11:44 PM,125.9,35.5,12.7
3/16/2021 3:12:43 PM,110.1,33.2,11.4
3/16/2021 3:13:43 PM,130.8,33.1,11.8
3/16/2021 3:14:44 PM,128.6,32.9,11.3
3/16/2021 3:15:44 PM,127,31.8,10.6
3/16/2021 3:16:43 PM,109.1,33.1,10.8
3/16/2021 3:17:43 PM,128.2,33.2,10.8
3/16/2021 3:18:44 PM,113.7,35,12
3/16/2021 3:19:44 PM,102.1,29.6,11.5
3/16/2021 3:20:44 PM,108.1,34.5,10
